Index,Area,depth_w,T_bs,Lat
L1,650,1.4,279.1629626,44.87472022
L2,70,21.7,290.5717551,33.73476118
L3,32.68,38.2,292.9718258,30.63015055
L4,108,1,292.0126811,33.23979794
L5,41.635,41.6,299.125734,23.10831558
L6,366,1,286.8767741,38.82888651
L7,10.96,18.7,293.2021521,26.65769202
L8,400,50,275.6817558,33.68863416
L9,608.78,5,277.5107521,47.8115896
L10,1785,28.9,285.8834818,39.86056941
L11,980,9.1,280.2429753,41.97221556
L12,172.1,2.8,293.5318184,30.83463326
L13,420,2.7,281.9193327,45.26509285
L14,80,20.7,279.2224634,46.34813947
L15,769.32,2.6,293.1559309,31.57199893
L16,77.2,41.7,291.303649,26.55046228
L17,2315,6.2,276.4610306,48.95554826
L18,100,48.6,301.799351,18.92282366
L19,110,42.8,283.8052176,41.88274249
L20,749,5,302.5618795,18.48031892
L21,0.46,2.2,289.2704681,36.67491484
L22,83,2.3,295.0341771,29.20706252
L23,1022.75,72.9,289.468776,32.6893531
L24,4.5,4.2,281.6879402,39.93946036
L25,309,19.7,292.2764941,24.8237319
L26,58.59,1.8,293.7889703,31.12028395
L27,34.05,2.2,294.1257635,30.55912927
L28,160.1,70.5,295.5276194,25.78617457
L29,124.3,8.2,289.5728779,35.97429607
L30,20,10.8,294.5466448,29.76674594
L31,15.53,14.4,293.0310311,31.89511399
L32,2670.78,3,294.0886412,29.05873776
L33,13.03,1,287.1429759,39.42268011
L34,249,40,290.0251511,25.788348
L35,32,34.8,283.2942008,38.08631035
L36,52,20.9,297.7838416,24.49130725
L37,216,65.3,292.8943297,24.51949939
L38,141.19,5.2,294.382675,30.02329728
L39,74.5,30.5,293.9783048,29.67257946
L40,16,40.1,284.3283225,38.33696498
L41,2.4,5,289.1381687,36.83198012
L42,760.67,7.9,292.3175252,32.86324924
L43,63.66,53.8,299.6147237,22.10941951
L44,12,83.1,290.8557332,30.44135929
L45,108.4,28.2,300.8435667,21.88948928
L46,410,5,282.7971383,38.97384138
L47,75,1,288.5013449,37.60995391
L48,57.2,13.9,293.2742438,26.54638162
L49,32.8,3.3,283.2177672,39.0933133
L50,30,2.4,282.5712817,38.39365876
L51,337.09,2.2,294.1675062,29.85689021
L52,2069,9.8,291.722339,33.31409317
L53,40,46.8,293.3554384,28.61350202
L54,100,50.4,292.9725036,30.51236525
L55,6.67,18.1,285.0615689,40.31871579
L56,53.7,2.7,293.8325407,30.846386
L57,57,33.3,284.992459,38.26742127
L58,299.2,6,294.253476,30.01454456
L59,0.32,91.5,289.4755935,32.46423456
L60,37.5,1.1,292.5178138,32.59635935
L61,6.24,2.3,282.2434866,39.92995379
L62,95,48.4,281.5711382,43.89887796
L63,2,2.1,286.297612,39.99009498
L64,5,6.2,288.6385179,36.25610478
L65,296,21.8,293.7209581,29.05989764
L66,133,5,280.6788868,45.24511611
L67,349.03,7.4,294.2669079,30.23136768
L68,223.22,5.5,294.3316995,29.95196728
L69,377,5,295.8039253,25.05642318
L70,329.9,97.1,277.9088781,36.02980897
L71,0.8,11.3,283.893457,33.25169478
L72,51.8,51.3,286.1392494,27.70732517
L73,13,15.2,292.48029,30.9095544
L74,40.3,23,288.4137849,34.17411898
L75,260,3.9,290.9467915,34.10858233
L76,1970,91.2,292.0733247,31.58611147
L77,136.8,36,285.5457805,40.53373248
L78,28,5,281.8084193,44.39990516
L79,1920,44.4,277.7772745,30.73873213
L80,38,26.2,296.64126,24.79349332
L81,1266,3,290.5060028,34.8521138
L82,70,41.4,292.0684401,32.14569897
L83,148.4,4.7,293.5100353,31.1063487
L84,498.32,1.4,278.5094888,48.63090101
L85,924,48,292.2903971,31.74920045
L86,2933,6.8,294.5868187,29.05794086
L87,36.73,3,293.1749248,24.16630715
L88,567.4,50.9,293.5083333,29.67036674
L89,0.27,5,288.0722052,35.83542934
L90,17,1,280.1596002,44.11814712
L91,31,12.9,289.6442019,27.82490431
L92,458,24.1,274.9910429,44.6036845
L93,200,37.8,288.2772484,34.69781877
L94,2391,28,277.312781,31.79995295
L95,45,5,283.2887685,38.80825805
L96,84.6,9.2,278.5734873,48.53480027
L97,15.2,51.4,297.0601084,25.19631416
L98,132.8,6.1,293.892301,30.37464743
L99,5,25.9,287.5152867,33.29137905
L100,13.33,2.5,281.9183928,40.55684139
L101,357,51.7,284.780027,40.51017332
L102,44.3,26.6,295.3570891,27.71615277
L103,554,47.4,281.9518591,43.53776667
L104,130,57.6,301.7520279,19.41005965
L105,2338,2.2,293.470418,31.20234349
L106,75.31,45.9,293.1000184,30.37727318
L107,180,21.2,293.7785212,29.13293067
L108,156,3.8,292.6442183,32.4040438
L109,816,104.4,295.516699,24.95603667
L110,57.2,41.2,284.7960051,38.76013662
L111,820,20.9,284.8191618,36.90829821
L112,67,1.7,284.1723681,42.7418793
L113,293,1,281.8949738,40.95803107
L114,827,8,277.3424303,47.19965372
L115,86.6,5.3,294.391732,30.27710098
L116,53.8,33.1,284.6447694,38.76121226
L117,6.39,5.6,294.245639,30.24741292
L118,53.67,3.8,294.996228,29.40969196
L119,144,3.9,289.1711455,36.43200897
L120,39.45,27.4,295.9185297,27.73434271
L121,15,5,284.7903538,37.48966914
L122,59.21,69,291.7381283,31.53660893
L123,278,205.4,288.4749285,34.91786781
L124,4380,2.6,282.0932821,45.33456221
L125,370,52.5,298.3546959,23.92252369
L126,34.71,6,293.2059984,24.33714493
L127,140,5,282.1999272,44.99007321
L128,3.44,3.5,292.922803,32.07448814
L129,3,5,284.0842403,38.16004422
L130,630,28.2,279.6378547,28.95502
L131,116.57,1.7,293.5386391,31.42710357
L132,30,39.2,292.1251897,24.91206334
L133,92,8.1,294.7588616,23.67096508
L134,77.5,45,288.8326163,32.57964323
L135,135,13.1,286.1060132,40.03638768
L136,10,6.5,293.7099039,29.56287776
L137,42,30.6,289.1803704,35.68037764
L138,84.18,36.4,292.2701511,31.04201243
L139,65.5,35.1,293.189238,29.96233501
L140,45,29.7,294.5495462,28.64185394
L141,38,28.8,291.0718522,33.75890244
L142,248.74,39.2,294.0278937,29.27345047
