Index,Chla,TP,TN,N2P,Std_N2P,Limit_Type,Limit_P
L2,9.8,13.88,1297,93.44380403,19.11443872,P,13.88
L3,8.013529412,25.43333333,719.8571429,28.30368845,17.00900024,P,25.43333333
L4,45.64285714,47.2,1342.571429,28.44430993,15.09841564,P,47.2
L6,22.4,34.2,1424.2,41.64327485,16.06546016,P,34.2
L7,12.57210526,27.376,1868.971429,68.270435,16.76944936,P,27.376
L10,6.05,18.30555556,2965.434783,161.9964373,18.12175575,P,18.30555556
L11,2.181578947,10.35714286,670.9375,64.78017241,20.22382313,P,10.35714286
L12,19.57368421,48.14285714,737.7714286,15.32462908,15.04097919,P,48.14285714
L14,26.93333333,30.34090909,1214.431818,40.02621723,16.44042692,P,30.34090909
L15,19.50119048,64.57142857,1692.185714,26.20641593,14.21363687,P,64.57142857
L16,6.238095238,41.21914286,613.3334286,14.87982006,15.49781353,N,39.57548124
L17,11.95055556,125.3529412,1805.294118,14.40168935,12.50804619,P,125.3529412
L18,9.072222222,14,417.2097143,29.80069388,19.08275733,P,14
L19,6.194210526,12,2568.75,214.0625,19.65811059,P,12
L20,7.657894737,13,476.6665714,36.66665934,19.3572258,P,13
L22,15.9,135.6,935.6,6.899705015,12.32008085,N,75.94106009
L23,1.832142857,16.82857143,1228.619,73.0079202,18.41792478,P,16.82857143
L25,79.33333333,76.5796,1541,20.12285256,13.75407559,P,76.5796
L26,14.61619048,84.82352941,2817.941176,33.22122053,13.4857437,P,84.82352941
L28,3.316842105,7.2915625,701.7941176,96.24742538,21.63886462,P,7.2915625
L29,9.233571429,37.63333333,2040.166667,54.21169176,15.77201361,P,37.63333333
L30,19.73809524,25.28571429,1061.742857,41.98983051,17.02809027,P,25.28571429
L31,11.95526316,22.28571429,1057.314286,47.44358974,17.44758337,P,22.28571429
L32,3.375714286,65.02857143,1815.857143,27.92398946,14.19432739,P,65.02857143
L34,11.10480952,20.99822857,516.9522857,24.6188522,17.64880894,P,20.99822857
L37,2.805555556,9.28,158.5294118,17.08291075,20.65634626,N,7.674610494
L38,50.4,39.97916667,1582.5,39.58311621,15.58930087,P,39.97916667
L39,10.69388889,25.81914286,1023.971429,39.65938894,16.95972521,P,25.81914286
L41,4.5,16.61290323,1936.774194,116.5825243,18.46375996,P,16.61290323
L42,23.34166667,54.73529412,964.5,17.62117141,14.67357247,P,54.73529412
L43,3.344444444,19,475.8,25.04210526,17.99219632,P,19
L44,3.572631579,11.55903226,2009.047714,173.8076051,19.80044868,P,11.55903226
L45,36.01,30.85714286,1263.428571,40.94444444,16.38706417,P,30.85714286
L47,23.35714286,25.55555556,750.5263158,29.36842105,16.99329425,P,25.55555556
L48,14.02842105,18.53342857,1181.095429,63.72784313,18.07860531,P,18.53342857
L51,40.23333333,107.98,1401.2,12.97647713,12.87285098,P,107.98
L52,18.27,73.46666667,1958.75,26.66175136,13.86450575,P,73.46666667
L53,4.073333333,4.552,834.78,183.387522,23.69542081,P,4.552
L54,6.431578947,13.7084375,526.4857143,38.40596088,19.16030512,P,13.7084375
L55,2.927777778,7.32,1185.433333,161.9444444,21.62263985,P,7.32
L58,7.095,65.64857143,1058.271429,16.12025069,14.16839606,P,65.64857143
L59,3.246315789,18.83896552,1009.607941,53.59147456,18.02173114,P,18.83896552
L60,28.81238095,45.73529412,813.2647059,17.78199357,15.19041156,P,45.73529412
L62,4.194444444,54.98548387,1346.693548,24.49180136,14.66068291,P,54.98548387
L64,13.52,20.17142857,2242,111.1473088,17.78595734,P,20.17142857
L65,7.180526316,11.94117647,646.8,54.16551724,19.67673427,P,11.94117647
L66,7.51,78.03571429,1727.678571,22.1395881,13.70424329,P,78.03571429
L67,23.79285714,27.02857143,634.4571429,23.47357294,16.81077325,P,27.02857143
L68,35.73047619,85.13142857,1036.028571,12.16975433,13.47633109,N,76.87764309
L69,2.28,14.14,1821.72,128.834512,19.04620256,P,14.14
L73,7.216842105,55.68571429,762.4285714,13.69163674,14.62497629,N,52.13195264
L75,20.76923077,33.91666667,2253.958333,66.45577396,16.09123522,P,33.91666667
L77,2.728823529,7.346153846,1413.6,192.4272251,21.60778422,P,7.346153846
L78,10,23.5,1585.530455,67.46938104,17.27011474,P,23.5
L81,9.776190476,36,1120.714286,31.13095238,15.90744785,P,36
L82,5.235294118,14.72413793,974.2857143,66.16928739,18.89820878,P,14.72413793
L83,15.9515,44.08571429,1904.428571,43.19831497,15.29832202,P,44.08571429
L84,7.359642857,87.85714286,796.7857143,9.069105691,13.39473597,N,59.48498843
L85,3.875,15,730.5714286,48.7047619,18.83073251,P,15
L86,7.64,65.08571429,1557.428571,23.92888499,14.1919251,P,65.08571429
L87,103.7857143,90.45714286,2293.428571,25.35375869,13.31966983,P,90.45714286
L88,6.178947368,11.10714286,950.4762857,85.57342765,19.95319403,P,11.10714286
L91,4.342105263,14.94285714,432.2571429,28.92734226,18.84458756,P,14.94285714
L93,8.555555556,28.12,4003.1,142.3577525,16.683023,P,28.12
L95,16.55714286,36.76470588,1026.470588,27.92,15.84314612,P,36.76470588
L97,9.05,19.882,2174.218857,109.3561441,17.83555979,P,19.882
L103,7.53125,61.81818182,2047.727273,33.125,14.33348852,P,61.81818182
L104,1.911111111,14.47142857,369.3142857,25.52023692,18.96135862,P,14.47142857
L105,18.82142857,60.74285714,1639.857143,26.99670743,14.38203932,P,60.74285714
L106,5.691052632,9.444444444,996.1905714,105.4790017,20.58654683,P,9.444444444
L107,5.42,25.51428571,698.4477143,27.37477044,16.99858754,P,25.51428571
L108,17.69105263,36.6,1125.371429,30.74785324,15.85686011,P,36.6
L109,3.926315789,35.33333333,2877.424242,81.43653516,15.96484938,P,35.33333333
L111,5.532142857,25.39393939,420.3030303,16.55131265,17.0140817,N,24.7032451
L113,6.902380952,39.58333333,1590.416667,40.17894737,15.61922092,P,39.58333333
L114,5.627222222,37,700,18.91891892,15.82368132,P,37
L115,9.840526316,39.37272727,866.6363636,22.01108289,15.63528592,P,39.37272727
L117,43.32380952,28.48571429,1570,55.11534604,16.64153394,P,28.48571429
L119,15.77789474,37.48387097,1772.580645,47.28915663,15.78411286,P,37.48387097
L120,25.4,91.36,1640,17.95096322,13.29420285,P,91.36
L121,5.647368421,12.73076923,726.0492593,57.03105964,19.43544594,P,12.73076923
L123,5.43,31.42857143,3827.047714,121.7697,16.32922382,P,31.42857143
L124,9.476190476,50.17857143,748.7142857,14.92099644,14.92141897,N,50.17715051
L125,1.192352941,7.525769231,489.238,65.00837124,21.50743614,P,7.525769231
L126,84.18571429,151.4285714,1340.642857,8.853301887,12.06073991,N,111.1575962
L127,9.921052632,91.32758621,591.4310345,6.475929772,13.29511195,N,44.48484802
L129,7.5625,20.90793103,2567.643448,122.8071512,17.66347138,P,20.90793103
L131,47.38461538,54,1518.8,28.12592593,14.71186471,P,54
L132,8.947368421,25.38571429,737.8571429,29.06584131,17.01514385,P,25.38571429
L133,76.43809524,58.20588235,1942.285714,33.3692341,14.50076394,P,58.20588235
L134,13.0125,20.26666667,1355,66.85855263,17.76982071,P,20.26666667
L135,34.71428571,28.04347826,2495.217391,88.97674419,16.69178557,P,28.04347826
L136,26.9812,68.61928571,1665.428571,24.27056117,14.04807505,P,68.61928571
L137,10.04736842,19.33870968,5022.047714,259.6888726,17.93103763,P,19.33870968
L140,6.125789474,11.88,535.0954286,45.04170274,19.69621934,P,11.88
L141,7.289473684,27.05714286,1000.666571,36.98345301,16.80735105,P,27.05714286
L142,2.655555556,12.42857143,610.3808571,49.11110345,19.52562896,P,12.42857143
